Chromosome1: Chr1 (1-230218)
Chromosome, Start, End,   D, Name, 
Chromosome2: Chr2 (1-813184)
Chromosome, Start, End,  D, Name, gbkey, gene, gene_biotype, locus_tag
Chr4,447984,449276,gene-YDL001W,RMD1,Gene,RMD1,protein_coding,YDL001W
Chr4,450220,452475,gene-YDR001C,NTH1,Gene,NTH1,protein_coding,YDR001C
Chr4,453045,453650,gene-YDR002W,YRB1,Gene,YRB1,protein_coding,YDR002W
Chr4,454122,454754,gene-YDR003W,RCR2,Gene,RCR2,protein_coding,YDR003W
Chr4,454782,454904,gene-YDR003W-A,YDR003W-A,Gene, ,protein_coding,YDR003W-A
Chr4,455201,456583,gene-YDR004W,RAD57,Gene,RAD57,protein_coding,YDR004W
Chr4,456836,458103,gene-YDR005C,MAF1,Gene,MAF1,protein_coding,YDR005C
Chr4,458542,461247,gene-YDR006C,SOK1,Gene,SOK1,protein_coding,YDR006C
Chr4,461842,462516,gene-YDR007W,TRP1,Gene,TRP1,protein_coding,YDR007W
Chr4,463434,464996,gene-YDR009W,GAL3,Gene,GAL3,protein_coding,YDR009W
Chr4,465051,465383,gene-YDR010C,YDR010C,Gene, ,protein_coding,YDR010C
Chr4,465919,470424,gene-YDR011W,SNQ2,Gene,SNQ2,protein_coding,YDR011W
Chr4,471853,472941,gene-YDR012W,RPL4B,Gene,RPL4B,protein_coding,YDR012W
Chr4,473157,473783,gene-YDR013W,PSF1,Gene,PSF1,protein_coding,YDR013W
Chr4,474046,475989,gene-YDR014W,RAD61,Gene,RAD61,protein_coding,YDR014W
Chr4,477797,478285,gene-YDR014W-A,HED1,Gene,HED1,protein_coding,YDR014W-A
Chr4,478474,478758,gene-YDR016C,DAD1,Gene,DAD1,protein_coding,YDR016C
Chr4,479115,482267,gene-YDR017C,KCS1,Gene,KCS1,protein_coding,YDR017C
Chr4,482670,483860,gene-YDR018C,YDR018C,Gene, ,protein_coding,YDR018C
Chr4,484163,485365,gene-YDR019C,GCV1,Gene,GCV1,protein_coding,YDR019C
Chr4,485746,486444,gene-YDR020C,DAS2,Gene,DAS2,protein_coding,YDR020C
Chr4,486804,488003,gene-YDR021W,FAL1,Gene,FAL1,protein_coding,YDR021W
Chr4,488072,488662,gene-YDR022C,ATG31,Gene,ATG31,protein_coding,YDR022C
Chr4,488797,488870,gene-YNCD0007C,YNCD0007C,Gene, ,tRNA,YNCD0007C
Chr4,489508,490896,gene-YDR023W,SES1,Gene,SES1,protein_coding,YDR023W
Chr4,491515,492324,gene-YDR025W,RPS11A,Gene,RPS11A,protein_coding,YDR025W
Chr4,492556,494268,gene-YDR026C,NSI1,Gene,NSI1,protein_coding,YDR026C
Chr4,494649,497318,gene-YDR027C,VPS54,Gene,VPS54,protein_coding,YDR027C
Chr4,497835,500879,gene-YDR028C,REG1,Gene,REG1,protein_coding,YDR028C
Chr4,501100,501414,gene-YDR029W,YDR029W,Gene, ,protein_coding,YDR029W
Chr4,501753,503273,gene-YDR030C,RAD28,Gene,RAD28,protein_coding,YDR030C
Chr4,503498,503863,gene-YDR031W,MIX14,Gene,MIX14,protein_coding,YDR031W
Chr4,504099,504695,gene-YDR032C,PST2,Gene,PST2,protein_coding,YDR032C
Chr4,508147,509109,gene-YDR033W,MRH1,Gene,MRH1,protein_coding,YDR033W
Chr4,509737,512109,gene-YDR034C,LYS14,Gene,LYS14,protein_coding,YDR034C
Chr4,514043,519356,gene-YDR034C-D,YDR034C-D,Gene, ,protein_coding,YDR034C-D
Chr4,518040,519356,gene-YDR034C-C,YDR034C-C,Gene, ,protein_coding,YDR034C-C
Chr4,519743,519826,gene-YNCD0008W,YNCD0008W,Gene, ,tRNA,YNCD0008W
Chr4,520516,520692,gene-YDR034C-A,YDR034C-A,Gene, ,protein_coding,YDR034C-A
Chr4,520972,521043,gene-YNCD0009W,YNCD0009W,Gene, ,tRNA,YNCD0009W
Chr4,521314,521469,gene-YDR034W-B,YDR034W-B,Gene, ,protein_coding,YDR034W-B
Chr4,521816,522928,gene-YDR035W,ARO3,Gene,ARO3,protein_coding,YDR035W
Chr4,523211,524713,gene-YDR036C,EHD3,Gene,EHD3,protein_coding,YDR036C
Chr4,525440,527215,gene-YDR037W,KRS1,Gene,KRS1,protein_coding,YDR037W
Chr4,527422,530697,gene-YDR038C,ENA5,Gene,ENA5,protein_coding,YDR038C
Chr4,531307,534582,gene-YDR039C,ENA2,Gene,ENA2,protein_coding,YDR039C
Chr4,535192,538467,gene-YDR040C,ENA1,Gene,ENA1,protein_coding,YDR040C
Chr4,539803,540414,gene-YDR041W,RSM10,Gene,RSM10,protein_coding,YDR041W
Chr4,540601,541203,gene-YDR042C,YDR042C,Gene, ,protein_coding,YDR042C
Chr4,541602,541700,gene-YNCD0010C,SNR47,Gene,SNR47,snoRNA,YNCD0010C
Chr4,542674,543369,gene-YDR043C,NRG1,Gene,NRG1,protein_coding,YDR043C
Chr4,546642,547628,gene-YDR044W,HEM13,Gene,HEM13,protein_coding,YDR044W
Chr4,547978,548310,gene-YDR045C,RPC11,Gene,RPC11,protein_coding,YDR045C
Chr4,548762,550576,gene-YDR046C,BAP3,Gene,BAP3,protein_coding,YDR046C
Chr4,551860,552948,gene-YDR047W,HEM12,Gene,HEM12,protein_coding,YDR047W
Chr4,553254,555152,gene-YDR049W,VMS1,Gene,VMS1,protein_coding,YDR049W
Chr4,555726,556472,gene-YDR050C,TPI1,Gene,TPI1,protein_coding,YDR050C
Chr4,557056,558060,gene-YDR051C,DET1,Gene,DET1,protein_coding,YDR051C
Chr4,558511,560625,gene-YDR052C,DBF4,Gene,DBF4,protein_coding,YDR052C
Chr4,561440,562327,gene-YDR054C,CDC34,Gene,CDC34,protein_coding,YDR054C
Chr4,563527,564861,gene-YDR055W,PST1,Gene,PST1,protein_coding,YDR055W
Chr4,565023,565640,gene-YDR056C,EMC10,Gene,EMC10,protein_coding,YDR056C
Chr4,565927,567555,gene-YDR057W,YOS9,Gene,YOS9,protein_coding,YDR057W
Chr4,567723,568703,gene-YDR058C,TGL2,Gene,TGL2,protein_coding,YDR058C
Chr4,568882,568953,gene-YNCD0011W,YNCD0011W,Gene, ,tRNA,YNCD0011W
Chr4,568964,569035,gene-YNCD0012W,YNCD0012W,Gene, ,tRNA,YNCD0012W
Chr4,569234,569770,gene-YDR059C,UBC5,Gene,UBC5,protein_coding,YDR059C
Chr4,570649,573726,gene-YDR060W,MAK21,Gene,MAK21,protein_coding,YDR060W
Chr4,574164,575783,gene-YDR061W,YDR061W,Gene, ,protein_coding,YDR061W
Chr4,576474,578159,gene-YDR062W,LCB2,Gene,LCB2,protein_coding,YDR062W
Chr4,578663,579112,gene-YDR063W,AIM7,Gene,AIM7,protein_coding,YDR063W
Chr4,579458,580452,gene-YDR064W,RPS13,Gene,RPS13,protein_coding,YDR064W
Chr4,580687,581784,gene-YDR065W,RRG1,Gene,RRG1,protein_coding,YDR065W
Chr4,581908,582498,gene-YDR066C,RTR2,Gene,RTR2,protein_coding,YDR066C
Chr4,582791,583465,gene-YDR067C,OCA6,Gene,OCA6,protein_coding,YDR067C
Chr4,583713,584645,gene-YDR068W,DOS2,Gene,DOS2,protein_coding,YDR068W
Chr4,584939,587719,gene-YDR069C,DOA4,Gene,DOA4,protein_coding,YDR069C
Chr4,588098,588379,gene-YDR070C,FMP16,Gene,FMP16,protein_coding,YDR070C
Chr4,588827,589402,gene-YDR071C,PAA1,Gene,PAA1,protein_coding,YDR071C
Chr4,589761,591344,gene-YDR072C,IPT1,Gene,IPT1,protein_coding,YDR072C
Chr4,592439,592948,gene-YDR073W,SNF11,Gene,SNF11,protein_coding,YDR073W
Chr4,593893,596583,gene-YDR074W,TPS2,Gene,TPS2,protein_coding,YDR074W
Chr4,597156,598082,gene-YDR075W,PPH3,Gene,PPH3,protein_coding,YDR075W
Chr4,598468,599688,gene-YDR076W,RAD55,Gene,RAD55,protein_coding,YDR076W
Chr4,600793,601809,gene-YDR077W,SED1,Gene,SED1,protein_coding,YDR077W
Chr4,602198,602869,gene-YDR078C,SHU2,Gene,SHU2,protein_coding,YDR078C
Chr4,603064,603399,gene-YDR079W,PET100,Gene,PET100,protein_coding,YDR079W
Chr4,603593,603811,gene-YDR079C-A,TFB5,Gene,TFB5,protein_coding,YDR079C-A
Chr4,604008,606986,gene-YDR080W,VPS41,Gene,VPS41,protein_coding,YDR080W
Chr4,607304,610081,gene-YDR081C,PDC2,Gene,PDC2,protein_coding,YDR081C
Chr4,610441,611925,gene-YDR082W,STN1,Gene,STN1,protein_coding,YDR082W
Chr4,612073,613251,gene-YDR083W,RRP8,Gene,RRP8,protein_coding,YDR083W
Chr4,613405,614004,gene-YDR084C,TVP23,Gene,TVP23,protein_coding,YDR084C
Chr4,614288,616150,gene-YDR085C,AFR1,Gene,AFR1,protein_coding,YDR085C
Chr4,616928,617170,gene-YDR086C,SSS1,Gene,SSS1,protein_coding,YDR086C
Chr4,617470,618306,gene-YDR087C,RRP1,Gene,RRP1,protein_coding,YDR087C
Chr4,618497,619645,gene-YDR088C,SLU7,Gene,SLU7,protein_coding,YDR088C
Chr4,619969,620041,gene-YNCD0013C,YNCD0013C,Gene, ,tRNA,YNCD0013C
Chr4,622112,624721,gene-YDR089W,VTC5,Gene,VTC5,protein_coding,YDR089W
Chr4,625066,625998,gene-YDR090C,ILT1,Gene,ILT1,protein_coding,YDR090C
Chr4,626708,628534,gene-YDR091C,RLI1,Gene,RLI1,protein_coding,YDR091C
Chr4,629876,630605,gene-YDR092W,UBC13,Gene,UBC13,protein_coding,YDR092W
Chr4,631282,636120,gene-YDR093W,DNF2,Gene,DNF2,protein_coding,YDR093W
Chr4,637139,639823,gene-YDR096W,GIS1,Gene,GIS1,protein_coding,YDR096W
Chr4,640109,643837,gene-YDR097C,MSH6,Gene,MSH6,protein_coding,YDR097C
Chr4,644178,644930,gene-YDR098C,GRX3,Gene,GRX3,protein_coding,YDR098C
Chr4,645153,645224,gene-YNCD0014C,YNCD0014C,Gene, ,tRNA,YNCD0014C
Chr4,645858,651126,gene-YDR098C-B,YDR098C-B,Gene, ,protein_coding,YDR098C-B
Chr4,649804,651126,gene-YDR098C-A,YDR098C-A,Gene, ,protein_coding,YDR098C-A
Chr4,653607,654428,gene-YDR099W,BMH2,Gene,BMH2,protein_coding,YDR099W
Chr4,655013,655444,gene-YDR100W,TVP15,Gene,TVP15,protein_coding,YDR100W
Chr4,655686,657467,gene-YDR101C,ARX1,Gene,ARX1,protein_coding,YDR101C
Chr4,657648,657980,gene-YDR102C,YDR102C,Gene, ,protein_coding,YDR102C
Chr4,658350,661103,gene-YDR103W,STE5,Gene,STE5,protein_coding,YDR103W
Chr4,661173,664910,gene-YDR104C,SPO71,Gene,SPO71,protein_coding,YDR104C
Chr4,665349,666770,gene-YDR105C,TMS1,Gene,TMS1,protein_coding,YDR105C
Chr4,667004,667858,gene-YDR106W,ARP10,Gene,ARP10,protein_coding,YDR106W
Chr4,668007,668080,gene-YNCD0015C,YNCD0015C,Gene, ,tRNA,YNCD0015C
Chr4,669016,671034,gene-YDR107C,TMN2,Gene,TMN2,protein_coding,YDR107C
Chr4,671269,673365,gene-YDR108W,TRS85,Gene,TRS85,protein_coding,YDR108W
Chr4,673520,675667,gene-YDR109C,YDR109C,Gene, ,protein_coding,YDR109C
Chr4,676102,677802,gene-YDR110W,FOB1,Gene,FOB1,protein_coding,YDR110W
Chr4,678241,679764,gene-YDR111C,ALT2,Gene,ALT2,protein_coding,YDR111C
Chr4,680496,681617,gene-YDR113C,PDS1,Gene,PDS1,protein_coding,YDR113C
Chr4,681924,682226,gene-YDR114C,YDR114C,Gene, ,protein_coding,YDR114C
Chr4,682175,682492,gene-YDR115W,MRX14,Gene,MRX14,protein_coding,YDR115W
Chr4,682724,683581,gene-YDR116C,MRPL1,Gene,MRPL1,protein_coding,YDR116C
Chr4,683946,685643,gene-YDR117C,TMA64,Gene,TMA64,protein_coding,YDR117C
Chr4,685882,687840,gene-YDR118W,APC4,Gene,APC4,protein_coding,YDR118W
Chr4,688227,690533,gene-YDR119W,VBA4,Gene,VBA4,protein_coding,YDR119W
Chr4,691014,691214,gene-YDR119W-A,COX26,Gene,COX26,protein_coding,YDR119W-A
Chr4,691549,693261,gene-YDR120C,TRM1,Gene,TRM1,protein_coding,YDR120C
Chr4,693585,694175,gene-YDR121W,DPB4,Gene,DPB4,protein_coding,YDR121W
Chr4,694700,697894,gene-YDR122W,KIN1,Gene,KIN1,protein_coding,YDR122W
Chr4,698554,699468,gene-YDR123C,INO2,Gene,INO2,protein_coding,YDR123C
Chr4,700315,701289,gene-YDR124W,YDR124W,Gene, ,protein_coding,YDR124W
Chr4,701397,702758,gene-YDR125C,ECM18,Gene,ECM18,protein_coding,YDR125C
Chr4,703234,704244,gene-YDR126W,SWF1,Gene,SWF1,protein_coding,YDR126W
Chr4,704484,709250,gene-YDR127W,ARO1,Gene,ARO1,protein_coding,YDR127W
Chr4,709549,712995,gene-YDR128W,MTC5,Gene,MTC5,protein_coding,YDR128W
Chr4,713340,715379,gene-YDR129C,SAC6,Gene,SAC6,protein_coding,YDR129C
Chr4,715747,716622,gene-YDR130C,FIN1,Gene,FIN1,protein_coding,YDR130C
Chr4,716790,718460,gene-YDR131C,YDR131C,Gene, ,protein_coding,YDR131C
Chr4,718816,720303,gene-YDR132C,MRX16,Gene,MRX16,protein_coding,YDR132C
Chr4,723004,727551,gene-YDR135C,YCF1,Gene,YCF1,protein_coding,YDR135C
Chr4,728259,730250,gene-YDR137W,RGP1,Gene,RGP1,protein_coding,YDR137W
Chr4,730578,732836,gene-YDR138W,HPR1,Gene,HPR1,protein_coding,YDR138W
Chr4,733618,733924,gene-YDR139C,RUB1,Gene,RUB1,protein_coding,YDR139C
Chr4,734138,734803,gene-YDR140W,MTQ2,Gene,MTQ2,protein_coding,YDR140W
Chr4,734901,739997,gene-YDR141C,DOP1,Gene,DOP1,protein_coding,YDR141C
Chr4,740473,741600,gene-YDR142C,PEX7,Gene,PEX7,protein_coding,YDR142C
Chr4,742042,743874,gene-YDR143C,SAN1,Gene,SAN1,protein_coding,YDR143C
Chr4,744311,746101,gene-YDR144C,MKC7,Gene,MKC7,protein_coding,YDR144C
Chr4,746738,748357,gene-YDR145W,TAF12,Gene,TAF12,protein_coding,YDR145W
Chr4,748613,750742,gene-YDR146C,SWI5,Gene,SWI5,protein_coding,YDR146C
Chr4,751631,753235,gene-YDR147W,EKI1,Gene,EKI1,protein_coding,YDR147W
Chr4,753675,755066,gene-YDR148C,KGD2,Gene,KGD2,protein_coding,YDR148C
Chr4,755628,763874,gene-YDR150W,NUM1,Gene,NUM1,protein_coding,YDR150W
Chr4,764178,765155,gene-YDR151C,CTH1,Gene,CTH1,protein_coding,YDR151C
Chr4,765706,766503,gene-YDR152W,GIR2,Gene,GIR2,protein_coding,YDR152W
Chr4,766736,767971,gene-YDR153C,ENT5,Gene,ENT5,protein_coding,YDR153C
Chr4,768512,769000,gene-YDR155C,CPR1,Gene,CPR1,protein_coding,YDR155C
Chr4,769525,769938,gene-YDR156W,RPA14,Gene,RPA14,protein_coding,YDR156W
Chr4,769931,770332,gene-YDR157W,YDR157W,Gene, ,protein_coding,YDR157W
Chr4,770357,771454,gene-YDR158W,HOM2,Gene,HOM2,protein_coding,YDR158W
Chr4,771877,775782,gene-YDR159W,SAC3,Gene,SAC3,protein_coding,YDR159W
Chr4,776163,778721,gene-YDR160W,SSY1,Gene,SSY1,protein_coding,YDR160W
Chr4,779043,780206,gene-YDR161W,ACL4,Gene,ACL4,protein_coding,YDR161W
Chr4,780390,781100,gene-YDR162C,NBP2,Gene,NBP2,protein_coding,YDR162C
Chr4,781423,781950,gene-YDR163W,CWC15,Gene,CWC15,protein_coding,YDR163W
Chr4,782041,784215,gene-YDR164C,SEC1,Gene,SEC1,protein_coding,YDR164C
Chr4,784871,786205,gene-YDR165W,TRM82,Gene,TRM82,protein_coding,YDR165W
Chr4,786306,789221,gene-YDR166C,SEC5,Gene,SEC5,protein_coding,YDR166C
Chr4,789449,790069,gene-YDR167W,TAF10,Gene,TAF10,protein_coding,YDR167W
Chr4,790328,791848,gene-YDR168W,CDC37,Gene,CDC37,protein_coding,YDR168W
Chr4,792348,793889,gene-YDR169C,STB3,Gene,STB3,protein_coding,YDR169C
Chr4,794574,794723,gene-YDR169C-A,YDR169C-A,Gene, ,protein_coding,YDR169C-A
Chr4,796193,802222,gene-YDR170C,SEC7,Gene,SEC7,protein_coding,YDR170C
Chr4,802731,802802,gene-YNCD0016C,YNCD0016C,Gene, ,tRNA,YNCD0016C
Chr4,803195,804517,gene-YDR170W-A,YDR170W-A,Gene, ,protein_coding,YDR170W-A
Chr4,806621,807748,gene-YDR171W,HSP42,Gene,HSP42,protein_coding,YDR171W
Chr4,808324,810381,gene-YDR172W,SUP35,Gene,SUP35,protein_coding,YDR172W
Chr4,810565,811632,gene-YDR173C,ARG82,Gene,ARG82,protein_coding,YDR173C
Chr4,812110,812850,gene-YDR174W,HMO1,Gene,HMO1,protein_coding,YDR174W
Chr4,813193,814152,gene-YDR175C,RSM24,Gene,RSM24,protein_coding,YDR175C
Chr4,814452,816560,gene-YDR176W,NGG1,Gene,NGG1,protein_coding,YDR176W
Chr4,816878,817525,gene-YDR177W,UBC1,Gene,UBC1,protein_coding,YDR177W
Chr4,817950,818495,gene-YDR178W,SDH4,Gene,SDH4,protein_coding,YDR178W
Chr4,818708,819196,gene-YDR179C,CSN9,Gene,CSN9,protein_coding,YDR179C
Chr4,819433,820824,gene-YDR179W-A,NVJ3,Gene,NVJ3,protein_coding,YDR179W-A
Chr4,821295,825776,gene-YDR180W,SCC2,Gene,SCC2,protein_coding,YDR180W
Chr4,825910,827355,gene-YDR181C,SAS4,Gene,SAS4,protein_coding,YDR181C
Chr4,827582,829057,gene-YDR182W,CDC1,Gene,CDC1,protein_coding,YDR182W
Chr4,829151,829354,gene-YDR182W-A,YDR182W-A,Gene, ,protein_coding,YDR182W-A
Chr4,829585,830277,gene-YDR183W,PLP1,Gene,PLP1,protein_coding,YDR183W
Chr4,830629,831513,gene-YDR184C,ATC1,Gene,ATC1,protein_coding,YDR184C
Chr4,831934,832473,gene-YDR185C,UPS3,Gene,UPS3,protein_coding,YDR185C
Chr4,832859,835492,gene-YDR186C,SND1,Gene,SND1,protein_coding,YDR186C
Chr4,836421,838061,gene-YDR188W,CCT6,Gene,CCT6,protein_coding,YDR188W
Chr4,838392,840392,gene-YDR189W,SLY1,Gene,SLY1,protein_coding,YDR189W
Chr4,840604,841995,gene-YDR190C,RVB1,Gene,RVB1,protein_coding,YDR190C
Chr4,842337,843449,gene-YDR191W,HST4,Gene,HST4,protein_coding,YDR191W
Chr4,843569,844861,gene-YDR192C,NUP42,Gene,NUP42,protein_coding,YDR192C
Chr4,845952,847946,gene-YDR194C,MSS116,Gene,MSS116,protein_coding,YDR194C
Chr4,848071,848223,gene-YDR194W-A,YDR194W-A,Gene, ,protein_coding,YDR194W-A
Chr4,848599,850200,gene-YDR195W,REF2,Gene,REF2,protein_coding,YDR195W
Chr4,850274,850999,gene-YDR196C,CAB5,Gene,CAB5,protein_coding,YDR196C
Chr4,851228,852397,gene-YDR197W,CBS2,Gene,CBS2,protein_coding,YDR197W
Chr4,852533,853972,gene-YDR198C,RKM2,Gene,RKM2,protein_coding,YDR198C
Chr4,854279,856093,gene-YDR200C,VPS64,Gene,VPS64,protein_coding,YDR200C
Chr4,856317,856814,gene-YDR201W,SPC19,Gene,SPC19,protein_coding,YDR201W
Chr4,856898,857953,gene-YDR202C,RAV2,Gene,RAV2,protein_coding,YDR202C
Chr4,858137,859144,gene-YDR204W,COQ4,Gene,COQ4,protein_coding,YDR204W
Chr4,859346,861520,gene-YDR205W,MSC2,Gene,MSC2,protein_coding,YDR205W
Chr4,862054,864708,gene-YDR206W,EBS1,Gene,EBS1,protein_coding,YDR206W
Chr4,865012,867522,gene-YDR207C,UME6,Gene,UME6,protein_coding,YDR207C
Chr4,868224,870563,gene-YDR208W,MSS4,Gene,MSS4,protein_coding,YDR208W
Chr4,871036,871449,gene-YDR209C,YDR209C,Gene, ,protein_coding,YDR209C
Chr4,871074,871301,gene-YDR210W,YDR210W,Gene, ,protein_coding,YDR210W
Chr4,872112,877425,gene-YDR210W-B,YDR210W-B,Gene, ,protein_coding,YDR210W-B
Chr4,872112,873428,gene-YDR210W-A,YDR210W-A,Gene, ,protein_coding,YDR210W-A
Chr4,878659,883927,gene-YDR210C-D,YDR210C-D,Gene, ,protein_coding,YDR210C-D
Chr4,882605,883927,gene-YDR210C-C,YDR210C-C,Gene, ,protein_coding,YDR210C-C
Chr4,884361,884493,gene-YNCD0017W,YNCD0017W,Gene, ,tRNA,YNCD0017W
Chr4,884727,886865,gene-YDR211W,GCD6,Gene,GCD6,protein_coding,YDR211W
Chr4,887232,888911,gene-YDR212W,TCP1,Gene,TCP1,protein_coding,YDR212W
Chr4,889751,892492,gene-YDR213W,UPC2,Gene,UPC2,protein_coding,YDR213W
Chr4,892875,893927,gene-YDR214W,AHA1,Gene,AHA1,protein_coding,YDR214W
Chr4,894089,894502,gene-YDR215C,YDR215C,Gene, ,protein_coding,YDR215C
Chr4,895035,899006,gene-YDR216W,ADR1,Gene,ADR1,protein_coding,YDR216W
Chr4,899551,903480,gene-YDR217C,RAD9,Gene,RAD9,protein_coding,YDR217C
Chr4,903781,905052,gene-YDR218C,SPR28,Gene,SPR28,protein_coding,YDR218C
Chr4,905455,906852,gene-YDR219C,MFB1,Gene,MFB1,protein_coding,YDR219C
Chr4,907330,909438,gene-YDR221W,GTB1,Gene,GTB1,protein_coding,YDR221W
Chr4,910054,911301,gene-YDR222W,YDR222W,Gene, ,protein_coding,YDR222W
Chr4,912099,913502,gene-YDR223W,CRF1,Gene,CRF1,protein_coding,YDR223W
Chr4,914317,914712,gene-YDR224C,HTB1,Gene,HTB1,protein_coding,YDR224C
Chr4,915530,915928,gene-YDR225W,HTA1,Gene,HTA1,protein_coding,YDR225W
Chr4,916486,917154,gene-YDR226W,ADK1,Gene,ADK1,protein_coding,YDR226W
Chr4,917571,921647,gene-YDR227W,SIR4,Gene,SIR4,protein_coding,YDR227W
Chr4,921926,923806,gene-YDR228C,PCF11,Gene,PCF11,protein_coding,YDR228C
Chr4,924785,926146,gene-YDR229W,IVY1,Gene,IVY1,protein_coding,YDR229W
Chr4,926293,926910,gene-YDR231C,COX20,Gene,COX20,protein_coding,YDR231C
Chr4,927452,929098,gene-YDR232W,HEM1,Gene,HEM1,protein_coding,YDR232W
Chr4,929470,930357,gene-YDR233C,RTN1,Gene,RTN1,protein_coding,YDR233C
Chr4,931129,933210,gene-YDR234W,LYS4,Gene,LYS4,protein_coding,YDR234W
Chr4,933504,935138,gene-YDR235W,PRP42,Gene,PRP42,protein_coding,YDR235W
Chr4,935236,935892,gene-YDR236C,FMN1,Gene,FMN1,protein_coding,YDR236C
Chr4,936615,937493,gene-YDR237W,MRPL7,Gene,MRPL7,protein_coding,YDR237W
Chr4,937895,940816,gene-YDR238C,SEC26,Gene,SEC26,protein_coding,YDR238C
Chr4,941057,943420,gene-YDR239C,YDR239C,Gene, ,protein_coding,YDR239C
Chr4,943674,945152,gene-YDR240C,SNU56,Gene,SNU56,protein_coding,YDR240C
Chr4,946312,946400,gene-YNCD0018W,SUP2,Gene,SUP2,tRNA,YNCD0018W
Chr4,946807,948456,gene-YDR242W,AMD2,Gene,AMD2,protein_coding,YDR242W
Chr4,948518,950284,gene-YDR243C,PRP28,Gene,PRP28,protein_coding,YDR243C
Chr4,950563,952401,gene-YDR244W,PEX5,Gene,PEX5,protein_coding,YDR244W
Chr4,952800,953981,gene-YDR245W,MNN10,Gene,MNN10,protein_coding,YDR245W
Chr4,954288,954947,gene-YDR246W,TRS23,Gene,TRS23,protein_coding,YDR246W
Chr4,955133,955333,gene-YDR246W-A,YDR246W-A,Gene, ,protein_coding,YDR246W-A
Chr4,956013,957398,gene-YDR247W,VHS1,Gene,VHS1,protein_coding,YDR247W
Chr4,957758,958339,gene-YDR248C,YDR248C,Gene, ,protein_coding,YDR248C
Chr4,958681,959802,gene-YDR249C,YDR249C,Gene, ,protein_coding,YDR249C
Chr4,960614,963106,gene-YDR251W,PAM1,Gene,PAM1,protein_coding,YDR251W
Chr4,963412,963861,gene-YDR252W,BTT1,Gene,BTT1,protein_coding,YDR252W
Chr4,963990,964565,gene-YDR253C,MET32,Gene,MET32,protein_coding,YDR253C
Chr4,965113,966489,gene-YDR254W,CHL4,Gene,CHL4,protein_coding,YDR254W
Chr4,966557,967822,gene-YDR255C,RMD5,Gene,RMD5,protein_coding,YDR255C
Chr4,968133,969680,gene-YDR256C,CTA1,Gene,CTA1,protein_coding,YDR256C
Chr4,969990,971474,gene-YDR257C,RKM4,Gene,RKM4,protein_coding,YDR257C
Chr4,971808,974243,gene-YDR258C,HSP78,Gene,HSP78,protein_coding,YDR258C
Chr4,974631,975782,gene-YDR259C,YAP6,Gene,YAP6,protein_coding,YDR259C
Chr4,976717,977229,gene-YDR260C,SWM1,Gene,SWM1,protein_coding,YDR260C
Chr4,977521,979209,gene-YDR261C,EXG2,Gene,EXG2,protein_coding,YDR261C
Chr4,980974,981055,gene-YNCD0019C,YNCD0019C,Gene, ,tRNA,YNCD0019C
Chr4,981462,986775,gene-YDR261W-B,YDR261W-B,Gene, ,protein_coding,YDR261W-B
Chr4,981462,982778,gene-YDR261W-A,YDR261W-A,Gene, ,protein_coding,YDR261W-A
Chr4,987534,992349,gene-YDR261C-D,YDR261C-D,Gene, ,protein_coding,YDR261C-D
Chr4,991027,992349,gene-YDR261C-C,YDR261C-C,Gene, ,protein_coding,YDR261C-C
Chr4,992832,992902,gene-YNCD0020W,YNCD0020W,Gene, ,tRNA,YNCD0020W
Chr4,993134,993952,gene-YDR262W,YDR262W,Gene, ,protein_coding,YDR262W
Chr4,994242,995534,gene-YDR263C,DIN7,Gene,DIN7,protein_coding,YDR263C
Chr4,996029,998323,gene-YDR264C,AKR1,Gene,AKR1,protein_coding,YDR264C
Chr4,998864,999877,gene-YDR265W,PEX10,Gene,PEX10,protein_coding,YDR265W
Chr4,1000104,1002023,gene-YDR266C,HEL2,Gene,HEL2,protein_coding,YDR266C
Chr4,1002510,1003502,gene-YDR267C,CIA1,Gene,CIA1,protein_coding,YDR267C
Chr4,1004004,1005143,gene-YDR268W,MSW1,Gene,MSW1,protein_coding,YDR268W
Chr4,1005675,1008689,gene-YDR270W,CCC2,Gene,CCC2,protein_coding,YDR270W
Chr4,1009010,1009834,gene-YDR272W,GLO2,Gene,GLO2,protein_coding,YDR272W
Chr4,1010176,1011273,gene-YDR273W,DON1,Gene,DON1,protein_coding,YDR273W
Chr4,1011589,1011960,gene-YDR274C,YDR274C,Gene, ,protein_coding,YDR274C
Chr4,1012252,1012959,gene-YDR275W,BSC2,Gene,BSC2,protein_coding,YDR275W
Chr4,1013476,1013643,gene-YDR276C,PMP3,Gene,PMP3,protein_coding,YDR276C
Chr4,1014401,1015702,gene-YDR277C,MTH1,Gene,MTH1,protein_coding,YDR277C
Chr4,1017001,1017318,gene-YDR278C,YDR278C,Gene, ,protein_coding,YDR278C
Chr4,1017207,1017278,gene-YNCD0021C,YNCD0021C,Gene, ,tRNA,YNCD0021C
Chr4,1019368,1020420,gene-YDR279W,RNH202,Gene,RNH202,protein_coding,YDR279W
Chr4,1020747,1021664,gene-YDR280W,RRP45,Gene,RRP45,protein_coding,YDR280W
Chr4,1022007,1022321,gene-YDR281C,PHM6,Gene,PHM6,protein_coding,YDR281C
Chr4,1023511,1024755,gene-YDR282C,MRX10,Gene,MRX10,protein_coding,YDR282C
